### FROM S=0 to D=4
0.00 CONN 0 1 up
1.00 CONN 0 1 down
2.00 CONN 1 4 up
3.00 CONN 1 4 down
4.00 CONN 0 1 up
5.00 CONN 0 1 down
6.00 CONN 0 2 up
7.00 CONN 0 2 down
8.00 CONN 1 3 up
9.00 CONN 1 3 down
10.00 CONN 1 4 up
10.10 CONN 3 4 up
11.00 CONN 1 4 down
11.10 CONN 3 4 down
12.00 CONN 2 1 up
13.00 CONN 2 1 down
14.00 CONN 2 4 up
14.05 CONN 0 1 up
15.00 CONN 2 4 down
15.05 CONN 3 2 up
15.05 CONN 0 1 down
16.00 CONN 1 4 up
16.05 CONN 3 2 down
17.00 CONN 1 4 down
18.00 CONN 1 4 up
18.10 CONN 2 4 up
18.20 CONN 0 1 up
19.00 CONN 1 4 down
19.10 CONN 0 3 up
19.10 CONN 2 4 down
19.20 CONN 0 1 down
20.00 CONN 0 2 up
20.10 CONN 0 3 down
21.00 CONN 2 4 up
21.00 CONN 0 2 down
22.00 CONN 2 4 down
